Timestamp,Set Temperature,Target Temperature,Pump Status,Last Temperature (Sensor 1),Last Temperature (Sensor 2),Last Flow Rate
2023-12-03 14:50:40.634631,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:40.792751,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:40.942521,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:41.090689,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:41.368573,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:41.541138,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:41.815276,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:41.941899,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:42.080709,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:42.224631,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:42.388347,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:42.556649,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:42.820532,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:43.117048,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:43.387647,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:43.691979,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:43.957107,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:44.275598,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:44.540076,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:44.840770,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:45.091279,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:45.233315,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:45.532038,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:45.808439,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:46.115493,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:46.391756,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:46.643976,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:46.786368,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:46.962703,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:47.240454,33.20,33.20,1,32.69,38.75,0.00
2023-12-03 14:50:47.504906,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:47.647534,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:47.935638,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:48.234184,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:48.524891,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:50.566406,33.20,33.20,1,32.69,38.69,0.00
2023-12-03 14:50:50.738784,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:51.021191,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:51.290565,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:51.565476,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:51.853743,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:52.134734,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:52.411803,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:52.687816,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:52.955831,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:53.112006,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:53.379523,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:53.546592,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:53.816844,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:53.949182,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.122834,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.373590,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.522562,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.661463,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.804321,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:54.946636,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:55.092221,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.233242,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.380337,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.521435,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.665280,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.809444,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:55.965007,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:56.099000,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:56.244299,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:56.384144,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:56.526650,33.20,33.20,1,32.75,38.75,0.00
2023-12-03 14:50:56.673461,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:56.814596,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:56.960711,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.102517,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.246312,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.391121,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.533306,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.679564,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.821827,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:57.964461,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.120171,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.250458,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.395997,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.539273,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.680735,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:58.961175,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:59.106619,33.20,33.20,1,32.75,38.69,0.00
2023-12-03 14:50:59.248929,33.20,33.20,1,32.75,38.69,0.00
